# CSV-File created with merge-csv.com
# -----------------------------------------------------------

16,10,15,10,6,19,1,2,1,10,10,16,4,10,10,15,5,19,13.45362404707371,False,False,True,False,False,True,True,False,1,0,0,45,45,1,0,0,True,False,False,4.692,UP
16,7,16,8,6,19,1,2,1,7,13,16,4,8,12,16,4,22,15.620499351813308,False,True,False,False,False,True,True,False,0,1,0,48,48,1,0,0,True,False,False,4.97,UP
16,3,16,4,6,19,1,2,1,3,17,16,4,4,16,16,4,26,18.867962264113206,False,True,False,False,False,True,True,False,0,1,0,52,52,1,0,0,True,False,False,5.363,UP
16,0,16,1,6,19,1,2,1,0,20,16,4,1,19,16,4,29,21.470910553583888,False,True,False,False,False,True,True,False,0,1,0,55,55,1,0,0,True,False,False,5.667,UP
16,15,16,16,6,19,4,2,1,15,5,16,4,16,4,16,4,14,10.770329614269007,False,True,False,False,False,True,True,False,0,1,0,80,80,1,0,0,True,False,False,8.108,RIGHT
4,15,3,15,6,19,1,2,1,15,5,4,16,15,5,3,17,6,4.47213595499958,False,False,True,False,False,True,False,True,1,0,0,88,88,1,0,0,True,False,False,8.923,UP
4,13,4,14,6,19,1,2,1,13,7,4,16,14,6,4,16,8,6.324555320336759,False,True,False,False,False,True,False,True,0,1,0,90,90,1,0,0,True,False,False,9.139,UP
4,12,4,13,6,19,4,2,1,12,8,4,16,13,7,4,16,9,7.280109889280518,False,True,False,False,False,True,False,True,0,1,0,91,91,1,0,0,True,False,False,9.251,RIGHT
14,12,13,12,6,19,4,2,1,12,8,14,6,12,8,13,7,15,10.63014581273465,False,False,True,False,False,True,True,False,1,0,0,101,101,1,0,0,True,False,False,10.251,RIGHT
6,12,5,12,6,19,2,2,1,12,8,6,14,12,8,5,15,7,7,False,False,True,False,False,True,False,False,1,0,0,113,113,1,0,0,True,False,False,11.459,DOWN
6,19,6,17,17,12,4,3,2,19,1,6,14,17,3,6,14,18,13.038404810405298,True,False,False,False,True,False,False,True,0,2,0,119,119,1,0,0,True,False,False,12.115,RIGHT
15,19,13,19,17,12,1,3,2,19,1,15,5,19,1,13,7,9,7.280109889280518,False,False,True,False,True,False,False,True,2,0,0,128,128,1,0,0,True,False,False,13.092,UP
15,13,15,15,17,12,4,3,2,13,7,15,5,15,5,15,5,3,2.23606797749979,False,True,False,False,True,False,False,True,0,2,0,134,134,1,0,0,True,False,False,13.7,RIGHT
18,13,16,13,17,12,1,3,2,13,7,18,2,13,7,16,4,2,1.4142135623730951,False,False,True,False,True,False,True,False,2,0,0,137,137,1,0,0,True,False,False,13.947,UP
18,9,18,11,17,12,3,3,2,9,11,18,2,11,9,18,2,4,3.1622776601683795,False,True,False,False,False,True,True,False,0,2,0,141,141,1,0,0,True,False,False,14.411,LEFT
15,9,17,9,17,12,2,3,2,9,11,15,5,9,11,17,3,5,3.605551275463989,False,False,False,True,False,True,False,True,2,0,0,144,144,1,0,0,True,False,False,14.667,DOWN
15,11,15,9,17,12,4,3,2,11,9,15,5,9,11,15,5,3,2.23606797749979,True,False,False,False,False,True,False,True,0,2,0,146,146,1,0,0,True,False,False,14.867,RIGHT
19,11,17,11,17,12,2,3,2,11,9,19,1,11,9,17,3,3,2.23606797749979,False,False,True,False,False,True,True,False,2,0,0,150,150,1,0,0,True,False,False,15.236,DOWN
19,13,19,11,17,12,3,3,2,13,7,19,1,11,9,19,1,3,2.23606797749979,True,False,False,False,True,False,True,False,0,2,0,152,152,1,0,0,True,False,False,15.443,LEFT
16,13,18,13,17,12,1,3,2,13,7,16,4,13,7,18,2,2,1.4142135623730951,False,False,False,True,True,False,False,True,2,0,0,155,155,1,0,0,True,False,False,15.724,UP
16,8,16,10,17,12,4,3,2,8,12,16,4,10,10,16,4,5,4.123105625617661,False,True,False,False,False,True,False,True,0,2,0,160,160,1,0,0,True,False,False,16.219,RIGHT
18,8,16,8,17,12,2,3,2,8,12,18,2,8,12,16,4,5,4.123105625617661,False,False,True,False,False,True,True,False,2,0,0,162,162,1,0,0,True,False,False,16.411,DOWN
18,9,17,8,17,12,3,3,2,9,11,18,2,8,12,17,3,4,3.1622776601683795,True,False,False,False,False,True,True,False,0,1,1,163,163,1,0,0,True,False,False,16.603,LEFT
14,9,16,9,17,12,2,3,2,9,11,14,6,9,11,16,4,6,4.242640687119285,False,False,False,True,False,True,False,True,2,0,0,167,167,1,0,0,True,False,False,16.915,DOWN
14,12,14,10,17,12,4,3,2,12,8,14,6,10,10,14,6,3,3,True,False,False,False,False,False,False,True,0,2,0,170,170,1,0,0,True,False,False,17.315,RIGHT
